date,year_month,geo,hicp_yoy
2014-01-01,2014-01,European Union - 27 countries (from 2020),0.7
2014-02-01,2014-02,European Union - 27 countries (from 2020),0.7
2014-03-01,2014-03,European Union - 27 countries (from 2020),0.4
2014-04-01,2014-04,European Union - 27 countries (from 2020),0.7
2014-05-01,2014-05,European Union - 27 countries (from 2020),0.5
2014-06-01,2014-06,European Union - 27 countries (from 2020),0.5
2014-07-01,2014-07,European Union - 27 countries (from 2020),0.4
2014-08-01,2014-08,European Union - 27 countries (from 2020),0.3
2014-09-01,2014-09,European Union - 27 countries (from 2020),0.3
2014-10-01,2014-10,European Union - 27 countries (from 2020),0.3
2014-11-01,2014-11,European Union - 27 countries (from 2020),0.3
2014-12-01,2014-12,European Union - 27 countries (from 2020),-0.2
2015-01-01,2015-01,European Union - 27 countries (from 2020),-0.6
2015-02-01,2015-02,European Union - 27 countries (from 2020),-0.3
2015-03-01,2015-03,European Union - 27 countries (from 2020),-0.1
2015-04-01,2015-04,European Union - 27 countries (from 2020),0.1
2015-05-01,2015-05,European Union - 27 countries (from 2020),0.5
2015-06-01,2015-06,European Union - 27 countries (from 2020),0.4
2015-07-01,2015-07,European Union - 27 countries (from 2020),0.4
2015-08-01,2015-08,European Union - 27 countries (from 2020),0.3
2015-09-01,2015-09,European Union - 27 countries (from 2020),0.1
2015-10-01,2015-10,European Union - 27 countries (from 2020),0.3
2015-11-01,2015-11,European Union - 27 countries (from 2020),0.1
2015-12-01,2015-12,European Union - 27 countries (from 2020),0.2
2016-01-01,2016-01,European Union - 27 countries (from 2020),0.3
2016-02-01,2016-02,European Union - 27 countries (from 2020),-0.2
2016-03-01,2016-03,European Union - 27 countries (from 2020),-0.1
2016-04-01,2016-04,European Union - 27 countries (from 2020),-0.3
2016-05-01,2016-05,European Union - 27 countries (from 2020),-0.2
2016-06-01,2016-06,European Union - 27 countries (from 2020),0.0
2016-07-01,2016-07,European Union - 27 countries (from 2020),0.1
2016-08-01,2016-08,European Union - 27 countries (from 2020),0.2
2016-09-01,2016-09,European Union - 27 countries (from 2020),0.3
2016-10-01,2016-10,European Union - 27 countries (from 2020),0.5
2016-11-01,2016-11,European Union - 27 countries (from 2020),0.6
2016-12-01,2016-12,European Union - 27 countries (from 2020),1.1
2017-01-01,2017-01,European Union - 27 countries (from 2020),1.7
2017-02-01,2017-02,European Union - 27 countries (from 2020),1.9
2017-03-01,2017-03,European Union - 27 countries (from 2020),1.5
2017-04-01,2017-04,European Union - 27 countries (from 2020),1.9
2017-05-01,2017-05,European Union - 27 countries (from 2020),1.4
2017-06-01,2017-06,European Union - 27 countries (from 2020),1.3
2017-07-01,2017-07,European Union - 27 countries (from 2020),1.4
2017-08-01,2017-08,European Union - 27 countries (from 2020),1.6
2017-09-01,2017-09,European Union - 27 countries (from 2020),1.6
2017-10-01,2017-10,European Union - 27 countries (from 2020),1.5
2017-11-01,2017-11,European Union - 27 countries (from 2020),1.6
2017-12-01,2017-12,European Union - 27 countries (from 2020),1.4
2018-01-01,2018-01,European Union - 27 countries (from 2020),1.4
2018-02-01,2018-02,European Union - 27 countries (from 2020),1.2
2018-03-01,2018-03,European Union - 27 countries (from 2020),1.4
2018-04-01,2018-04,European Union - 27 countries (from 2020),1.3
2018-05-01,2018-05,European Union - 27 countries (from 2020),2.0
2018-06-01,2018-06,European Union - 27 countries (from 2020),2.0
2018-07-01,2018-07,European Union - 27 countries (from 2020),2.2
2018-08-01,2018-08,European Union - 27 countries (from 2020),2.1
2018-09-01,2018-09,European Union - 27 countries (from 2020),2.1
2018-10-01,2018-10,European Union - 27 countries (from 2020),2.3
2018-11-01,2018-11,European Union - 27 countries (from 2020),1.9
2018-12-01,2018-12,European Union - 27 countries (from 2020),1.6
2019-01-01,2019-01,European Union - 27 countries (from 2020),1.4
2019-02-01,2019-02,European Union - 27 countries (from 2020),1.6
2019-03-01,2019-03,European Union - 27 countries (from 2020),1.6
2019-04-01,2019-04,European Union - 27 countries (from 2020),1.9
2019-05-01,2019-05,European Union - 27 countries (from 2020),1.5
2019-06-01,2019-06,European Union - 27 countries (from 2020),1.5
2019-07-01,2019-07,European Union - 27 countries (from 2020),1.3
2019-08-01,2019-08,European Union - 27 countries (from 2020),1.3
2019-09-01,2019-09,European Union - 27 countries (from 2020),1.1
2019-10-01,2019-10,European Union - 27 countries (from 2020),1.0
2019-11-01,2019-11,European Union - 27 countries (from 2020),1.3
2019-12-01,2019-12,European Union - 27 countries (from 2020),1.6
2020-01-01,2020-01,European Union - 27 countries (from 2020),1.7
2020-02-01,2020-02,European Union - 27 countries (from 2020),1.6
2020-03-01,2020-03,European Union - 27 countries (from 2020),1.1
2020-04-01,2020-04,European Union - 27 countries (from 2020),0.6
2020-05-01,2020-05,European Union - 27 countries (from 2020),0.5
2020-06-01,2020-06,European Union - 27 countries (from 2020),0.7
2020-07-01,2020-07,European Union - 27 countries (from 2020),0.8
2020-08-01,2020-08,European Union - 27 countries (from 2020),0.4
2020-09-01,2020-09,European Union - 27 countries (from 2020),0.2
2020-10-01,2020-10,European Union - 27 countries (from 2020),0.2
2020-11-01,2020-11,European Union - 27 countries (from 2020),0.2
2020-12-01,2020-12,European Union - 27 countries (from 2020),0.2
2021-01-01,2021-01,European Union - 27 countries (from 2020),1.2
2021-02-01,2021-02,European Union - 27 countries (from 2020),1.3
2021-03-01,2021-03,European Union - 27 countries (from 2020),1.7
2021-04-01,2021-04,European Union - 27 countries (from 2020),2.0
2021-05-01,2021-05,European Union - 27 countries (from 2020),2.3
2021-06-01,2021-06,European Union - 27 countries (from 2020),2.2
2021-07-01,2021-07,European Union - 27 countries (from 2020),2.5
2021-08-01,2021-08,European Union - 27 countries (from 2020),3.2
2021-09-01,2021-09,European Union - 27 countries (from 2020),3.6
2021-10-01,2021-10,European Union - 27 countries (from 2020),4.4
2021-11-01,2021-11,European Union - 27 countries (from 2020),5.2
2021-12-01,2021-12,European Union - 27 countries (from 2020),5.3
2022-01-01,2022-01,European Union - 27 countries (from 2020),5.6
2022-02-01,2022-02,European Union - 27 countries (from 2020),6.2
2022-03-01,2022-03,European Union - 27 countries (from 2020),7.8
2022-04-01,2022-04,European Union - 27 countries (from 2020),8.1
2022-05-01,2022-05,European Union - 27 countries (from 2020),8.8
2022-06-01,2022-06,European Union - 27 countries (from 2020),9.6
2022-07-01,2022-07,European Union - 27 countries (from 2020),9.8
